Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Starbuck Shah Alam,https://goo.gl/maps/uuUERmhJMhTynUDe8,7am,10pm,☕️☕️☕️☕️,💪💪💪💪💪,🔌🔌🔌🔌
Gigi Coffee Shah Alam,https://goo.gl/maps/J9Eefe5EN6ubnd2c7,7am,10pm,☕️☕️☕️☕️☕️,💪💪,🔌🔌
